               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12084,            0.021992,             0.04774,            0.003397,             0.43137,           0.0036692,          0.00053946,             0.07337,            0.014581,            0.030922,              0.0964,              0.0004,              0.0004
                   1,             0.11628,            0.022535,             0.04856,           0.0038802,             0.43246,           0.0045525,           0.0011209,            0.067467,            0.014886,            0.030513,            0.091882,          0.00088218,          0.00088218
                   2,             0.10453,            0.023425,            0.048721,           0.0069857,             0.84532,            0.014475,           0.0031468,            0.059464,            0.016062,             0.03078,            0.087345,           0.0013446,           0.0013446
                   3,            0.086896,            0.026802,            0.045271,           0.0073024,              0.8671,            0.039914,            0.016966,            0.055201,            0.016123,            0.030464,            0.082787,           0.0017871,           0.0017871
                   4,            0.083544,            0.027298,            0.043322,           0.0080121,             0.88889,            0.052749,            0.013745,            0.054206,            0.015487,            0.029755,             0.07821,           0.0022099,           0.0022099
                   5,            0.081818,            0.030851,            0.044105,           0.0072709,             0.85185,            0.077819,             0.02733,            0.049371,            0.015563,            0.029747,            0.073613,           0.0026129,           0.0026129
                   6,            0.079528,            0.030147,            0.043306,             0.18826,             0.22658,             0.14531,            0.053014,            0.044869,            0.015163,            0.029515,            0.068996,           0.0029961,           0.0029961
                   7,            0.073044,              0.0294,            0.039858,             0.21068,             0.26797,              0.2106,             0.11004,            0.045596,            0.014433,            0.028876,            0.064359,           0.0033595,           0.0033595
                   8,            0.060807,            0.026457,            0.034331,             0.30152,             0.23203,             0.25645,              0.1367,            0.042874,            0.014223,            0.027454,            0.059703,            0.003703,            0.003703
                   9,            0.069687,            0.029637,            0.039134,             0.29814,             0.34423,             0.23416,             0.12777,            0.041028,            0.014427,            0.027463,            0.055027,           0.0040268,           0.0040268
                  10,            0.063321,            0.029838,             0.03843,             0.20267,             0.56645,             0.23863,             0.11759,            0.042005,            0.014589,            0.027255,            0.050331,           0.0043308,           0.0043308
                  11,            0.066846,            0.030328,            0.036353,             0.27195,             0.36093,             0.22405,             0.10806,            0.044428,            0.014304,            0.026596,            0.045615,            0.004615,            0.004615
                  12,            0.065164,            0.027465,            0.040025,              0.2874,             0.45041,              0.2226,             0.12549,            0.040678,            0.013877,            0.026143,            0.040879,           0.0048794,           0.0048794
                  13,            0.067156,            0.027069,             0.03877,             0.13765,             0.54902,               0.237,               0.114,            0.047203,            0.012803,            0.026097,            0.036124,           0.0051239,           0.0051239
                  14,            0.062512,            0.024517,            0.037058,             0.12693,             0.26688,             0.11784,            0.067795,            0.041176,            0.012571,            0.026418,            0.031349,           0.0053487,           0.0053487
                  15,            0.067868,            0.024584,            0.035352,              0.1472,             0.26688,             0.12888,            0.074336,            0.039199,            0.012568,            0.026596,            0.026554,           0.0055537,           0.0055537
                  16,             0.06456,            0.029798,            0.039062,              0.1365,             0.26146,             0.11075,            0.074827,            0.035994,             0.01319,            0.026434,            0.021739,           0.0057389,           0.0057389
                  17,            0.062361,            0.024626,            0.035117,             0.18377,             0.28322,             0.11448,             0.06583,             0.03906,            0.012783,            0.027217,            0.016904,           0.0059043,           0.0059043
                  18,            0.058251,            0.028087,            0.035495,             0.21293,             0.29659,             0.12509,            0.079594,            0.035126,            0.013359,            0.027798,             0.01205,           0.0060498,           0.0060498
                  19,            0.052245,            0.030064,            0.032681,             0.14091,             0.30065,             0.13817,            0.076984,            0.039529,            0.012939,            0.028786,           0.0071756,           0.0061756,           0.0061756
                  20,            0.058758,            0.025683,            0.035609,             0.15007,             0.28322,             0.11133,            0.069191,            0.042074,             0.01283,            0.029022,             0.00604,             0.00604,             0.00604
                  21,            0.062774,            0.025401,            0.033153,             0.10338,             0.33141,             0.13141,             0.06606,            0.040645,            0.012679,            0.028805,             0.00604,             0.00604,             0.00604
                  22,            0.057346,            0.026856,            0.033117,             0.11875,             0.35948,             0.13138,            0.071859,            0.039802,            0.012412,            0.028259,            0.005842,            0.005842,            0.005842
                  23,            0.053958,            0.024014,            0.035872,             0.15829,             0.35554,             0.16208,            0.085741,            0.040221,            0.012177,            0.027908,            0.005644,            0.005644,            0.005644
                  24,            0.057163,            0.026211,            0.031819,             0.16869,              0.4183,             0.17336,             0.10126,            0.037869,            0.012172,              0.0276,            0.005446,            0.005446,            0.005446
                  25,            0.053557,            0.024037,            0.031422,             0.16318,             0.46628,             0.20938,            0.099324,            0.038532,            0.012199,            0.027575,            0.005248,            0.005248,            0.005248
                  26,            0.053002,            0.027784,            0.030027,              0.1927,              0.4183,             0.24489,             0.14902,            0.036559,            0.012206,            0.027402,             0.00505,             0.00505,             0.00505
